schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = trip with Alexander ; date = 25th ; start-time = 11am ; end-time = 12am )
schedule ( title = interview with William ; date = 5th ; start-time = 12am ; end-time = 1am )
schedule ( title = taking medicine with James ; date = 21st ; start-time = 1pm ; end-time = 2pm )
schedule ( title = optometrist appointment with James ; date = 16th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = meeting with Kevin ; date = 26th ; start-time = 6am ; end-time = 7am )
schedule ( title = playing football with Isabella ; date = 5th ; start-time = 6am ; end-time = 7am )
schedule ( title = zoom with Kevin ; date = 18th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = conference with Emily ; date = 20th ; start-time = 4am ; end-time = 5am )
schedule ( title = lunch with Mia ; date = 3rd ; start-time = 1am ; end-time = 2am )
schedule ( title = dentist appointment with William ; date = 8th ; start-time = 2pm ; end-time = 3pm )
schedule ( title = meeting with Mary ; date = 4th ; start-time = 12am ; end-time = 1am )
schedule ( title = playing football with Charlotte ; date = 12th ; start-time = 11pm ; end-time = 12pm )
schedule ( title = trip with Jeffrey ; date = 9th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = breakfast with Ava ; date = 28th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = dinner with Mia ; date = 8th ; start-time = 12am ; end-time = 1am )
schedule ( title = zoom with Jacob ; date = 8th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = dinner with Justin ; date = 5th ; start-time = 10am ; end-time = 11am )
schedule ( title = zoom with Gary ; date = 2nd ; start-time = 8am ; end-time = 9am )
schedule ( title = meeting with Elijah ; date = 30th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = dinner with father ; date = 25th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = talk with Robert ; date = 29th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = lab appointment with Ryan ; date = 14th ; start-time = 5am ; end-time = 6am )
schedule ( title = dinner with Ava ; date = 17th ; start-time = 1pm ; end-time = 2pm )
schedule ( title = dinner with Richard ; date = 29th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = conference with Liam ; date = 10th ; start-time = 2pm ; end-time = 3pm )
schedule ( title = meeting with Alex ; date = 20th ; start-time = 7am ; end-time = 8am )
schedule ( title = interview with Brian ; date = 2nd ; start-time = 5am ; end-time = 6am )
schedule ( title = optometrist appointment with Kevin ; date = 22nd ; start-time = 9am ; end-time = 10am )
schedule ( title = football activities with James ; date = 10th ; start-time = 8am ; end-time = 9am )
schedule ( title = zoom with Richard ; date = 1st ; start-time = 11pm ; end-time = 12pm )
schedule ( title = yoga activity with Isabella ; date = 6th ; start-time = 1pm ; end-time = 2pm )
schedule ( title = yoga activity with Alexander ; date = 22nd ; start-time = 6am ; end-time = 7am )
schedule ( title = playing football with father ; date = 14th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = taking medicine with Benjamin ; date = 5th ; start-time = 2am ; end-time = 3am )
schedule ( title = flight with Noah ; date = 27th ; start-time = 1pm ; end-time = 2pm )
schedule ( title = dinner with James ; date = 17th ; start-time = 8am ; end-time = 9am )
schedule ( title = zoom with Sophia ; date = 3rd ; start-time = 11pm ; end-time = 12pm )
schedule ( title = dinner with Justin ; date = 27th ; start-time = 4am ; end-time = 5am )
schedule ( title = playing football with Mia ; date = 7th ; start-time = 9am ; end-time = 10am )
schedule ( title = zoom with Amelia ; date = 9th ; start-time = 12am ; end-time = 1am )
schedule ( title = playing football with Mary ; date = 12th ; start-time = 8am ; end-time = 9am )
schedule ( title = optometrist appointment with Richard ; date = 26th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = interview with Gary ; date = 23rd ; start-time = 12pm ; end-time = 1pm )
schedule ( title = lunch with Elizabeth ; date = 15th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = talk with Ryan ; date = 22nd ; start-time = 12am ; end-time = 1am )
schedule ( title = meeting with Emily ; date = 22nd ; start-time = 5pm ; end-time = 6pm )
schedule ( title = dinner with  ; date = 23rd ; start-time = 12pm ; end-time = 1pm )
schedule ( title = trip with Richard ; date = 26th ; start-time = 6pm ; end-time = 7pm )
schedule ( title = trip with Robert ; date = 21st ; start-time = 3am ; end-time = 4am )
schedule ( title = playing football with Isabella ; date = 10th ; start-time = 4pm ; end-time = 5pm )
schedule ( title = lunch with William ; date = 17th ; start-time = 6am ; end-time = 7am )
schedule ( title = dentist appointment with David ; date = 12th ; start-time = 8am ; end-time = 9am )
schedule ( title = interview with Scott ; date = 27th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = football activities with Amelia ; date = 10th ; start-time = 9am ; end-time = 10am )
schedule ( title = zoom with Ava ; date = 1st ; start-time = 9pm ; end-time = 10pm )
schedule ( title = flight with Charlotte ; date = 26th ; start-time = 9am ; end-time = 10am )
schedule ( title = dinner with Alice ; date = 4th ; start-time = 1am ; end-time = 2am )
schedule ( title = dinner with Elijah ; date = 29th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = taking medicine with George ; date = 10th ; start-time = 7am ; end-time = 8am )
schedule ( title = trip with Sarah ; date = 19th ; start-time = 1am ; end-time = 2am )
schedule ( title = interview with Liam ; date = 9th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = optometrist appointment with William ; date = 29th ; start-time = 11pm ; end-time = 12pm )
schedule ( title = breakfast with Elizabeth ; date = 6th ; start-time = 4pm ; end-time = 5pm )
schedule ( title = dinner with Richard ; date = 26th ; start-time = 1pm ; end-time = 2pm )
schedule ( title = flight with Benjamin ; date = 5th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = interview with David ; date = 9th ; start-time = 4am ; end-time = 5am )
schedule ( title = interview with David ; date = 9th ; start-time = 11am ; end-time = 12am )
schedule ( title = dinner with Barbara ; date = 6th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = meeting with Olivia ; date = 14th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = conference with Brian ; date = 8th ; start-time = 5am ; end-time = 6am )
schedule ( title = trip with Alex ; date = 6th ; start-time = 2am ; end-time = 3am )
schedule ( title = conference with Elijah ; date = 6th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = meeting with Richard ; date = 17th ; start-time = 2pm ; end-time = 3pm )
schedule ( title = meeting with Gary ; date = 5th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = conference with Amelia ; date = 21st ; start-time = 6pm ; end-time = 7pm )
schedule ( title = conference with Liam ; date = 31st ; start-time = 1am ; end-time = 2am )
schedule ( title = talk with Alice ; date = 3rd ; start-time = 10am ; end-time = 11am )
schedule ( title = trip with Gary ; date = 27th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = taking medicine with Lisa ; date = 22nd ; start-time = 2am ; end-time = 3am )
schedule ( title = dinner with Liam ; date = 7th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = interview with  ; date = 28th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = dinner with Alice ; date = 30th ; start-time = 9am ; end-time = 10am )
schedule ( title = talk with Elijah ; date = 1st ; start-time = 10pm ; end-time = 11pm )
schedule ( title = zoom with Sarah ; date = 14th ; start-time = 10am ; end-time = 11am )
schedule ( title = lunch with Timothy ; date = 4th ; start-time = 8am ; end-time = 9am )
schedule ( title = conference with Sophia ; date = 13th ; start-time = 6pm ; end-time = 7pm )
schedule ( title = lunch with Isabella ; date = 7th ; start-time = 5pm ; end-time = 6pm )
schedule ( title = lunch with sister ; date = 29th ; start-time = 9am ; end-time = 10am )
schedule ( title = meeting with Linda ; date = 23rd ; start-time = 6am ; end-time = 7am )
schedule ( title = dentist appointment with Ashley ; date = 19th ; start-time = 6am ; end-time = 7am )
schedule ( title = interview with Jessica ; date = 6th ; start-time = 11am ; end-time = 12am )
schedule ( title = trip with Ryan ; date = 28th ; start-time = 11am ; end-time = 12am )
schedule ( title = talk with Sophia ; date = 9th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = dentist appointment with Barbara ; date = 29th ; start-time = 3am ; end-time = 4am )
schedule ( title = meeting with Oliver ; date = 5th ; start-time = 1pm ; end-time = 2pm )
schedule ( title = playing football with Emma ; date = 6th ; start-time = 5am ; end-time = 6am )
schedule ( title = lab appointment with Timothy ; date = 31st ; start-time = 11am ; end-time = 12am )
schedule ( title = dinner with Harper ; date = 10th ; start-time = 4pm ; end-time = 5pm )
schedule ( title = dinner with Kevin ; date = 12th ; start-time = 1pm ; end-time = 2pm )
schedule ( title = lunch with Jennifer ; date = 9th ; start-time = 8pm ; end-time = 9pm )
schedule ( title = lab appointment with David ; date = 18th ; start-time = 12am ; end-time = 1am )
schedule ( title = trip with Elizabeth ; date = 21st ; start-time = 1pm ; end-time = 2pm )
schedule ( title = yoga activity with Timothy ; date = 28th ; start-time = 2am ; end-time = 3am )
schedule ( title = taking medicine with Mia ; date = 17th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = flight with George ; date = 2nd ; start-time = 7am ; end-time = 8am )
schedule ( title = optometrist appointment with James ; date = 13th ; start-time = 12am ; end-time = 1am )
schedule ( title = taking medicine with Jessica ; date = 8th ; start-time = 11pm ; end-time = 12pm )
schedule ( title = dinner with John ; date = 29th ; start-time = 1am ; end-time = 2am )
schedule ( title = interview with Elijah ; date = 24th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = meeting with Lucas ; date = 24th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = meeting with Benjamin ; date = 17th ; start-time = 10am ; end-time = 11am )
schedule ( title = meeting with William ; date = 14th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = conference with Emma ; date = 1st ; start-time = 2am ; end-time = 3am )
schedule ( title = conference with Alice ; date = 8th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = interview with Noah ; date = 15th ; start-time = 3pm ; end-time = 4pm )
schedule ( title = breakfast with Michael ; date = 10th ; start-time = 6pm ; end-time = 7pm )
schedule ( title = optometrist appointment with Oliver ; date = 12th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = lunch with Sophia ; date = 23rd ; start-time = 1am ; end-time = 2am )
schedule ( title = interview with Henry ; date = 18th ; start-time = 9am ; end-time = 10am )
schedule ( title = playing football with Alexander ; date = 31st ; start-time = 9pm ; end-time = 10pm )
schedule ( title = talk with Barbara ; date = 18th ; start-time = 12am ; end-time = 1am )
schedule ( title = taking medicine with father ; date = 29th ; start-time = 8am ; end-time = 9am )
schedule ( title = dinner with Elijah ; date = 21st ; start-time = 9am ; end-time = 10am )
schedule ( title = talk with Jessica ; date = 17th ; start-time = 12pm ; end-time = 1pm )
schedule ( title = lunch with Michael ; date = 19th ; start-time = 10am ; end-time = 11am )
schedule ( title = dinner with father ; date = 13th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = trip with Jeffrey ; date = 25th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = conference with sister ; date = 5th ; start-time = 12am ; end-time = 1am )
schedule ( title = dentist appointment with Ashley ; date = 22nd ; start-time = 10pm ; end-time = 11pm )
schedule ( title = playing football with Ashley ; date = 7th ; start-time = 11pm ; end-time = 12pm )
schedule ( title = trip with James ; date = 27th ; start-time = 6pm ; end-time = 7pm )
schedule ( title = meeting with Jessica ; date = 1st ; start-time = 2am ; end-time = 3am )
schedule ( title = talk with Olivia ; date = 23rd ; start-time = 11am ; end-time = 12am )
schedule ( title = interview with Justin ; date = 11th ; start-time = 7am ; end-time = 8am )
schedule ( title = trip with William ; date = 10th ; start-time = 6am ; end-time = 7am )
schedule ( title = dinner with Emily ; date = 26th ; start-time = 2am ; end-time = 3am )
schedule ( title = dinner with Linda ; date = 2nd ; start-time = 12am ; end-time = 1am )
schedule ( title = breakfast with Ryan ; date = 30th ; start-time = 4am ; end-time = 5am )
schedule ( title = conference with Emma ; date = 17th ; start-time = 3am ; end-time = 4am )
schedule ( title = optometrist appointment with Brian ; date = 25th ; start-time = 8am ; end-time = 9am )
schedule ( title = dentist appointment with James ; date = 21st ; start-time = 9am ; end-time = 10am )
schedule ( title = dentist appointment with George ; date = 17th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = playing football with Ashley ; date = 1st ; start-time = 2am ; end-time = 3am )
schedule ( title = breakfast with Elijah ; date = 10th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = interview with Jessica ; date = 8th ; start-time = 5am ; end-time = 6am )
schedule ( title = optometrist appointment with Alex ; date = 20th ; start-time = 1am ; end-time = 2am )
schedule ( title = lunch with Evelyn ; date = 4th ; start-time = 10pm ; end-time = 11pm )
schedule ( title = playing football with Gary ; date = 5th ; start-time = 7pm ; end-time = 8pm )
schedule ( title = zoom with Elijah ; date = 13th ; start-time = 10am ; end-time = 11am )
schedule ( title = lunch with sister ; date = 20th ; start-time = 9pm ; end-time = 10pm )
schedule ( title = flight with Oliver ; date = 23rd ; start-time = 10am ; end-time = 11am )
schedule ( title = meeting with Lucas ; date = 14th ; start-time = 9am ; end-time = 10am )
schedule ( title = breakfast with William ; date = 8th ; start-time = 10am ; end-time = 11am )
schedule ( title = talk with Amelia ; date = this Tuesday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = yoga activity with Jacob ; date = this Wednesday ; start-time = 3am ; end-time = 5am )
schedule ( title = conference with David ; date = this Wednesday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = dinner with Emily ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule ( title = talk with Emily ; date = next Tuesday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = dinner with Amelia ; date = next Wednesday ; start-time = 5am ; end-time = 7am )
schedule ( title = breakfast with Sophia ; date = this Saturday ; start-time = 12pm ; end-time = 2pm )
schedule ( title = taking medicine with  ; date = this Monday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = taking medicine with Elizabeth ; date = this Thursday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = breakfast with Lisa ; date = next Sunday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = talk with Barbara ; date = this Saturday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = lab appointment with Isabella ; date = next Sunday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = breakfast with Noah ; date = next Sunday ; start-time = 6am ; end-time = 8am )
schedule ( title = conference with Noah ; date = this Sunday ; start-time = 12am ; end-time = 2am )
schedule ( title = optometrist appointment with Gary ; date = next Tuesday ; start-time = 10pm ; end-time = 12pm )
schedule ( title = talk with Amelia ; date = this Saturday ; start-time = 10am ; end-time = 12am )
schedule ( title = meeting with Mary ; date = next Saturday ; start-time = 9am ; end-time = 11am )
schedule ( title = lunch with Jessica ; date = next Monday ; start-time = 1am ; end-time = 3am )
schedule ( title = trip with Kevin ; date = next Sunday ; start-time = 12pm ; end-time = 2pm )
schedule ( title = interview with Amelia ; date = next Sunday ; start-time = 9am ; end-time = 11am )
schedule ( title = optometrist appointment with Linda ; date = this Friday ; start-time = 10pm ; end-time = 12pm )
schedule ( title = meeting with Lisa ; date = next Friday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = optometrist appointment with Gary ; date = this Tuesday ; start-time = 4am ; end-time = 6am )
schedule ( title = breakfast with Barbara ; date = next Wednesday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = lunch with Alice ; date = next Friday ; start-time = 8am ; end-time = 10am )
schedule ( title = dentist appointment with Emma ; date = next Friday ; start-time = 10pm ; end-time = 12pm )
schedule ( title = lunch with Robert ; date = this Wednesday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = meeting with Lisa ; date = this Sunday ; start-time = 8am ; end-time = 10am )
schedule ( title = football activities with Jacob ; date = next Wednesday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = talk with Emma ; date = this Saturday ; start-time = 4am ; end-time = 6am )
schedule ( title = meeting with Benjamin ; date = this Wednesday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = meeting with James ; date = next Sunday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = dentist appointment with Elijah ; date = next Wednesday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = meeting with Noah ; date = next Monday ; start-time = 4am ; end-time = 6am )
schedule ( title = lunch with Ashley ; date = next Saturday ; start-time = 7pm ; end-time = 9pm )
schedule ( title = dinner with Evelyn ; date = this Saturday ; start-time = 4am ; end-time = 6am )
schedule ( title = optometrist appointment with Robert ; date = this Sunday ; start-time = 10am ; end-time = 12am )
schedule ( title = football activities with William ; date = this Sunday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = meeting with Elizabeth ; date = next Wednesday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = lunch with Harper ; date = next Monday ; start-time = 2am ; end-time = 4am )
schedule ( title = lunch with Scott ; date = this Saturday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = interview with Timothy ; date = this Wednesday ; start-time = 1am ; end-time = 3am )
schedule ( title = breakfast with Emily ; date = next Monday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = meeting with George ; date = next Wednesday ; start-time = 10pm ; end-time = 12pm )
schedule ( title = conference with Jennifer ; date = next Thursday ; start-time = 11am ; end-time = 13am )
schedule ( title = football activities with Elizabeth ; date = next Saturday ; start-time = 3am ; end-time = 5am )
schedule ( title = taking medicine with Mia ; date = next Thursday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = dinner with Gary ; date = this Friday ; start-time = 12am ; end-time = 2am )
schedule ( title = breakfast with Isabella ; date = this Sunday ; start-time = 11am ; end-time = 13am )
schedule ( title = talk with Benjamin ; date = next Sunday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = conference with Mary ; date = next Friday ; start-time = 5am ; end-time = 7am )
schedule ( title = lab appointment with Emma ; date = next Friday ; start-time = 6pm ; end-time = 8pm )
schedule ( title = conference with Jennifer ; date = next Sunday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = trip with George ; date = this Sunday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = optometrist appointment with William ; date = next Monday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = dinner with Elizabeth ; date = this Wednesday ; start-time = 9am ; end-time = 11am )
schedule ( title = dentist appointment with Barbara ; date = this Friday ; start-time = 10am ; end-time = 12am )
schedule ( title = trip with William ; date = next Wednesday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = football activities with Liam ; date = next Friday ; start-time = 2pm ; end-time = 4pm )
schedule ( title = meeting with Benjamin ; date = next Saturday ; start-time = 12am ; end-time = 2am )
schedule ( title = zoom with Sophia ; date = this Friday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = football activities with Lucas ; date = next Wednesday ; start-time = 7am ; end-time = 9am )
schedule ( title = interview with Elizabeth ; date = this Tuesday ; start-time = 12pm ; end-time = 2pm )
schedule ( title = meeting with David ; date = next Friday ; start-time = 7am ; end-time = 9am )
schedule ( title = interview with Lucas ; date = this Saturday ; start-time = 5am ; end-time = 7am )
schedule ( title = conference with Jeffrey ; date = next Friday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = dentist appointment with sister ; date = this Tuesday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = dentist appointment with Gary ; date = next Saturday ; start-time = 12am ; end-time = 2am )
schedule ( title = flight with David ; date = this Sunday ; start-time = 1am ; end-time = 3am )
schedule ( title = trip with Richard ; date = this Saturday ; start-time = 7pm ; end-time = 9pm )
schedule ( title = dinner with Alexander ; date = this Saturday ; start-time = 12am ; end-time = 2am )
schedule ( title = talk with Liam ; date = next Tuesday ; start-time = 7am ; end-time = 9am )
schedule ( title = flight with Liam ; date = next Friday ; start-time = 4am ; end-time = 6am )
schedule ( title = meeting with Ava ; date = next Monday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = playing football with Elijah ; date = this Monday ; start-time = 2am ; end-time = 4am )
schedule ( title = football activities with Alice ; date = this Friday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = yoga activity with Linda ; date = this Thursday ; start-time = 2am ; end-time = 4am )
schedule ( title = meeting with sister ; date = next Wednesday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = football activities with Jeffrey ; date = next Friday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = meeting with Isabella ; date = next Wednesday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = dinner with Linda ; date = this Monday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = conference with sister ; date = next Friday ; start-time = 7am ; end-time = 9am )
schedule ( title = taking medicine with Scott ; date = next Monday ; start-time = 6am ; end-time = 8am )
schedule ( title = lunch with William ; date = next Tuesday ; start-time = 5am ; end-time = 7am )
schedule ( title = optometrist appointment with William ; date = this Tuesday ; start-time = 7am ; end-time = 9am )
schedule ( title = football activities with Henry ; date = next Friday ; start-time = 3pm ; end-time = 5pm )
schedule ( title = meeting with Sarah ; date = this Tuesday ; start-time = 5am ; end-time = 7am )
schedule ( title = trip with Linda ; date = next Thursday ; start-time = 10am ; end-time = 12am )
schedule ( title = yoga activity with Alexander ; date = next Sunday ; start-time = 2am ; end-time = 4am )
schedule ( title = optometrist appointment with Alexander ; date = next Monday ; start-time = 9am ; end-time = 11am )
schedule ( title = optometrist appointment with Robert ; date = this Friday ; start-time = 4am ; end-time = 6am )
schedule ( title = yoga activity with Emma ; date = this Wednesday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = zoom with Sophia ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule ( title = optometrist appointment with Brian ; date = next Sunday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = dinner with Mary ; date = this Thursday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = lunch with Mary ; date = this Tuesday ; start-time = 3am ; end-time = 5am )
schedule ( title = meeting with Harper ; date = this Monday ; start-time = 5am ; end-time = 7am )
schedule ( title = dinner with William ; date = next Wednesday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = talk with William ; date = this Sunday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = breakfast with Justin ; date = this Wednesday ; start-time = 1pm ; end-time = 3pm )
schedule ( title = dinner with Justin ; date = this Saturday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = meeting with Mary ; date = next Thursday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = interview with Barbara ; date = next Wednesday ; start-time = 8am ; end-time = 10am )
schedule ( title = zoom with Elijah ; date = this Wednesday ; start-time = 10am ; end-time = 12am )
schedule ( title = zoom with Isabella ; date = this Tuesday ; start-time = 9am ; end-time = 11am )
schedule ( title = meeting with Justin ; date = next Sunday ; start-time = 8am ; end-time = 10am )
schedule ( title = dentist appointment with Jessica ; date = next Monday ; start-time = 8pm ; end-time = 10pm )
schedule ( title = interview with father ; date = this Sunday ; start-time = 3am ; end-time = 5am )
schedule ( title = meeting with William ; date = next Sunday ; start-time = 9pm ; end-time = 11pm )
schedule ( title = dinner with Ryan ; date = this Sunday ; start-time = 5am ; end-time = 7am )
schedule ( title = taking medicine with Brian ; date = next Monday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = conference with Scott ; date = this Wednesday ; start-time = 12pm ; end-time = 2pm )
schedule ( title = taking medicine with sister ; date = next Wednesday ; start-time = 4pm ; end-time = 6pm )
schedule ( title = lab appointment with Mary ; date = next Wednesday ; start-time = 11am ; end-time = 13am )
schedule ( title = interview with Emily ; date = this Saturday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = dinner with Oliver ; date = this Sunday ; start-time = 7pm ; end-time = 9pm )
schedule ( title = meeting with Emily ; date = next Tuesday ; start-time = 5pm ; end-time = 7pm )
schedule ( title = dinner with Ryan ; date = next Sunday ; start-time = 10am ; end-time = 12am )
schedule ( title = meeting with Emily ; date = this Wednesday ; start-time = 11pm ; end-time = 13pm )
schedule ( title = talk with Richard ; date = next Wednesday ; start-time = 10am ; end-time = 12am )
schedule ( title = talk with Michael ; date = next Saturday ; start-time = 5am ; end-time = 7am )
