taking medicine with Kevin on the 4th from 3pm to 4pm	schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
zoom with Jacob on the 8th from 12pm to 1pm	schedule ( title = zoom with Jacob ; date = 8th ; start-time = 12pm ; end-time = 1pm )
dinner with Justin on the 5th from 10am to 11am	schedule ( title = dinner with Justin ; date = 5th ; start-time = 10am ; end-time = 11am )
zoom with Gary on the 2nd from 8am to 9am	schedule ( title = zoom with Gary ; date = 2nd ; start-time = 8am ; end-time = 9am )
meeting with Elijah on the 30th from 12pm to 1pm	schedule ( title = meeting with Elijah ; date = 30th ; start-time = 12pm ; end-time = 1pm )
dinner with father on the 25th from 12pm to 1pm	schedule ( title = dinner with father ; date = 25th ; start-time = 12pm ; end-time = 1pm )
talk with Robert on the 29th from 10pm to 11pm	schedule ( title = talk with Robert ; date = 29th ; start-time = 10pm ; end-time = 11pm )
lab appointment with Ryan on the 14th from 5am to 6am	schedule ( title = lab appointment with Ryan ; date = 14th ; start-time = 5am ; end-time = 6am )
dinner with Ava on the 17th from 1pm to 2pm	schedule ( title = dinner with Ava ; date = 17th ; start-time = 1pm ; end-time = 2pm )
dinner with Richard on the 29th from 9pm to 10pm	schedule ( title = dinner with Richard ; date = 29th ; start-time = 9pm ; end-time = 10pm )
conference with Liam on the 10th from 2pm to 3pm	schedule ( title = conference with Liam ; date = 10th ; start-time = 2pm ; end-time = 3pm )
meeting with Alex on the 20th from 7am to 8am	schedule ( title = meeting with Alex ; date = 20th ; start-time = 7am ; end-time = 8am )
interview with Brian on the 2nd from 5am to 6am	schedule ( title = interview with Brian ; date = 2nd ; start-time = 5am ; end-time = 6am )
optometrist appointment with Kevin on the 22nd from 9am to 10am	schedule ( title = optometrist appointment with Kevin ; date = 22nd ; start-time = 9am ; end-time = 10am )
football activities with James on the 10th from 8am to 9am	schedule ( title = football activities with James ; date = 10th ; start-time = 8am ; end-time = 9am )
zoom with Richard on the 1st from 11pm to 12pm	schedule ( title = zoom with Richard ; date = 1st ; start-time = 11pm ; end-time = 12pm )
yoga activity with Isabella on the 6th from 1pm to 2pm	schedule ( title = yoga activity with Isabella ; date = 6th ; start-time = 1pm ; end-time = 2pm )
yoga activity with Alexander on the 22nd from 6am to 7am	schedule ( title = yoga activity with Alexander ; date = 22nd ; start-time = 6am ; end-time = 7am )
playing football with father on the 14th from 8pm to 9pm	schedule ( title = playing football with father ; date = 14th ; start-time = 8pm ; end-time = 9pm )
taking medicine with Benjamin on the 5th from 2am to 3am	schedule ( title = taking medicine with Benjamin ; date = 5th ; start-time = 2am ; end-time = 3am )
flight with Noah on the 27th from 1pm to 2pm	schedule ( title = flight with Noah ; date = 27th ; start-time = 1pm ; end-time = 2pm )
dinner with James on the 17th from 8am to 9am	schedule ( title = dinner with James ; date = 17th ; start-time = 8am ; end-time = 9am )
zoom with Sophia on the 3rd from 11pm to 12pm	schedule ( title = zoom with Sophia ; date = 3rd ; start-time = 11pm ; end-time = 12pm )
dinner with Justin on the 27th from 4am to 5am	schedule ( title = dinner with Justin ; date = 27th ; start-time = 4am ; end-time = 5am )
playing football with Mia on the 7th from 9am to 10am	schedule ( title = playing football with Mia ; date = 7th ; start-time = 9am ; end-time = 10am )
zoom with Amelia on the 9th from 12am to 1am	schedule ( title = zoom with Amelia ; date = 9th ; start-time = 12am ; end-time = 1am )
playing football with Mary on the 12th from 8am to 9am	schedule ( title = playing football with Mary ; date = 12th ; start-time = 8am ; end-time = 9am )
optometrist appointment with Richard on the 26th from 8pm to 9pm	schedule ( title = optometrist appointment with Richard ; date = 26th ; start-time = 8pm ; end-time = 9pm )
interview with Gary on the 23rd from 12pm to 1pm	schedule ( title = interview with Gary ; date = 23rd ; start-time = 12pm ; end-time = 1pm )
lunch with Elizabeth on the 15th from 7pm to 8pm	schedule ( title = lunch with Elizabeth ; date = 15th ; start-time = 7pm ; end-time = 8pm )
talk with Ryan on the 22nd from 12am to 1am	schedule ( title = talk with Ryan ; date = 22nd ; start-time = 12am ; end-time = 1am )
meeting with Emily on the 22nd from 5pm to 6pm	schedule ( title = meeting with Emily ; date = 22nd ; start-time = 5pm ; end-time = 6pm )
dinner with  on the 23rd from 12pm to 1pm	schedule ( title = dinner with  ; date = 23rd ; start-time = 12pm ; end-time = 1pm )
trip with Richard on the 26th from 6pm to 7pm	schedule ( title = trip with Richard ; date = 26th ; start-time = 6pm ; end-time = 7pm )
trip with Robert on the 21st from 3am to 4am	schedule ( title = trip with Robert ; date = 21st ; start-time = 3am ; end-time = 4am )
playing football with Isabella on the 10th from 4pm to 5pm	schedule ( title = playing football with Isabella ; date = 10th ; start-time = 4pm ; end-time = 5pm )
lunch with William on the 17th from 6am to 7am	schedule ( title = lunch with William ; date = 17th ; start-time = 6am ; end-time = 7am )
dentist appointment with David on the 12th from 8am to 9am	schedule ( title = dentist appointment with David ; date = 12th ; start-time = 8am ; end-time = 9am )
interview with Scott on the 27th from 12pm to 1pm	schedule ( title = interview with Scott ; date = 27th ; start-time = 12pm ; end-time = 1pm )
football activities with Amelia on the 10th from 9am to 10am	schedule ( title = football activities with Amelia ; date = 10th ; start-time = 9am ; end-time = 10am )
zoom with Ava on the 1st from 9pm to 10pm	schedule ( title = zoom with Ava ; date = 1st ; start-time = 9pm ; end-time = 10pm )
flight with Charlotte on the 26th from 9am to 10am	schedule ( title = flight with Charlotte ; date = 26th ; start-time = 9am ; end-time = 10am )
dinner with Alice on the 4th from 1am to 2am	schedule ( title = dinner with Alice ; date = 4th ; start-time = 1am ; end-time = 2am )
dinner with Elijah on the 29th from 3pm to 4pm	schedule ( title = dinner with Elijah ; date = 29th ; start-time = 3pm ; end-time = 4pm )
taking medicine with George on the 10th from 7am to 8am	schedule ( title = taking medicine with George ; date = 10th ; start-time = 7am ; end-time = 8am )
trip with Sarah on the 19th from 1am to 2am	schedule ( title = trip with Sarah ; date = 19th ; start-time = 1am ; end-time = 2am )
interview with Liam on the 9th from 9pm to 10pm	schedule ( title = interview with Liam ; date = 9th ; start-time = 9pm ; end-time = 10pm )
optometrist appointment with William on the 29th from 11pm to 12pm	schedule ( title = optometrist appointment with William ; date = 29th ; start-time = 11pm ; end-time = 12pm )
breakfast with Elizabeth on the 6th from 4pm to 5pm	schedule ( title = breakfast with Elizabeth ; date = 6th ; start-time = 4pm ; end-time = 5pm )
dinner with Richard on the 26th from 1pm to 2pm	schedule ( title = dinner with Richard ; date = 26th ; start-time = 1pm ; end-time = 2pm )
flight with Benjamin on the 5th from 3pm to 4pm	schedule ( title = flight with Benjamin ; date = 5th ; start-time = 3pm ; end-time = 4pm )
interview with David on the 9th from 4am to 5am	schedule ( title = interview with David ; date = 9th ; start-time = 4am ; end-time = 5am )
interview with David on the 9th from 11am to 12am	schedule ( title = interview with David ; date = 9th ; start-time = 11am ; end-time = 12am )
dinner with Barbara on the 6th from 5pm to 6pm	schedule ( title = dinner with Barbara ; date = 6th ; start-time = 5pm ; end-time = 6pm )
meeting with Olivia on the 14th from 10pm to 11pm	schedule ( title = meeting with Olivia ; date = 14th ; start-time = 10pm ; end-time = 11pm )
conference with Brian on the 8th from 5am to 6am	schedule ( title = conference with Brian ; date = 8th ; start-time = 5am ; end-time = 6am )
trip with Alex on the 6th from 2am to 3am	schedule ( title = trip with Alex ; date = 6th ; start-time = 2am ; end-time = 3am )
conference with Elijah on the 6th from 9pm to 10pm	schedule ( title = conference with Elijah ; date = 6th ; start-time = 9pm ; end-time = 10pm )
meeting with Richard on the 17th from 2pm to 3pm	schedule ( title = meeting with Richard ; date = 17th ; start-time = 2pm ; end-time = 3pm )
meeting with Gary on the 5th from 9pm to 10pm	schedule ( title = meeting with Gary ; date = 5th ; start-time = 9pm ; end-time = 10pm )
conference with Amelia on the 21st from 6pm to 7pm	schedule ( title = conference with Amelia ; date = 21st ; start-time = 6pm ; end-time = 7pm )
conference with Liam on the 31st from 1am to 2am	schedule ( title = conference with Liam ; date = 31st ; start-time = 1am ; end-time = 2am )
talk with Alice on the 3rd from 10am to 11am	schedule ( title = talk with Alice ; date = 3rd ; start-time = 10am ; end-time = 11am )
trip with Gary on the 27th from 7pm to 8pm	schedule ( title = trip with Gary ; date = 27th ; start-time = 7pm ; end-time = 8pm )
taking medicine with Lisa on the 22nd from 2am to 3am	schedule ( title = taking medicine with Lisa ; date = 22nd ; start-time = 2am ; end-time = 3am )
dinner with Liam on the 7th from 10pm to 11pm	schedule ( title = dinner with Liam ; date = 7th ; start-time = 10pm ; end-time = 11pm )
interview with  on the 28th from 9pm to 10pm	schedule ( title = interview with  ; date = 28th ; start-time = 9pm ; end-time = 10pm )
dinner with Alice on the 30th from 9am to 10am	schedule ( title = dinner with Alice ; date = 30th ; start-time = 9am ; end-time = 10am )
talk with Elijah on the 1st from 10pm to 11pm	schedule ( title = talk with Elijah ; date = 1st ; start-time = 10pm ; end-time = 11pm )
zoom with Sarah on the 14th from 10am to 11am	schedule ( title = zoom with Sarah ; date = 14th ; start-time = 10am ; end-time = 11am )
lunch with Timothy on the 4th from 8am to 9am	schedule ( title = lunch with Timothy ; date = 4th ; start-time = 8am ; end-time = 9am )
conference with Sophia on the 13th from 6pm to 7pm	schedule ( title = conference with Sophia ; date = 13th ; start-time = 6pm ; end-time = 7pm )
lunch with Isabella on the 7th from 5pm to 6pm	schedule ( title = lunch with Isabella ; date = 7th ; start-time = 5pm ; end-time = 6pm )
lunch with sister on the 29th from 9am to 10am	schedule ( title = lunch with sister ; date = 29th ; start-time = 9am ; end-time = 10am )
meeting with Linda on the 23rd from 6am to 7am	schedule ( title = meeting with Linda ; date = 23rd ; start-time = 6am ; end-time = 7am )
dentist appointment with Ashley on the 19th from 6am to 7am	schedule ( title = dentist appointment with Ashley ; date = 19th ; start-time = 6am ; end-time = 7am )
interview with Jessica on the 6th from 11am to 12am	schedule ( title = interview with Jessica ; date = 6th ; start-time = 11am ; end-time = 12am )
trip with Ryan on the 28th from 11am to 12am	schedule ( title = trip with Ryan ; date = 28th ; start-time = 11am ; end-time = 12am )
talk with Sophia on the 9th from 12pm to 1pm	schedule ( title = talk with Sophia ; date = 9th ; start-time = 12pm ; end-time = 1pm )
dentist appointment with Barbara on the 29th from 3am to 4am	schedule ( title = dentist appointment with Barbara ; date = 29th ; start-time = 3am ; end-time = 4am )
meeting with Oliver on the 5th from 1pm to 2pm	schedule ( title = meeting with Oliver ; date = 5th ; start-time = 1pm ; end-time = 2pm )
playing football with Emma on the 6th from 5am to 6am	schedule ( title = playing football with Emma ; date = 6th ; start-time = 5am ; end-time = 6am )
lab appointment with Timothy on the 31st from 11am to 12am	schedule ( title = lab appointment with Timothy ; date = 31st ; start-time = 11am ; end-time = 12am )
dinner with Harper on the 10th from 4pm to 5pm	schedule ( title = dinner with Harper ; date = 10th ; start-time = 4pm ; end-time = 5pm )
dinner with Kevin on the 12th from 1pm to 2pm	schedule ( title = dinner with Kevin ; date = 12th ; start-time = 1pm ; end-time = 2pm )
lunch with Jennifer on the 9th from 8pm to 9pm	schedule ( title = lunch with Jennifer ; date = 9th ; start-time = 8pm ; end-time = 9pm )
lab appointment with David on the 18th from 12am to 1am	schedule ( title = lab appointment with David ; date = 18th ; start-time = 12am ; end-time = 1am )
trip with Elizabeth on the 21st from 1pm to 2pm	schedule ( title = trip with Elizabeth ; date = 21st ; start-time = 1pm ; end-time = 2pm )
yoga activity with Timothy on the 28th from 2am to 3am	schedule ( title = yoga activity with Timothy ; date = 28th ; start-time = 2am ; end-time = 3am )
taking medicine with Mia on the 17th from 9pm to 10pm	schedule ( title = taking medicine with Mia ; date = 17th ; start-time = 9pm ; end-time = 10pm )
flight with George on the 2nd from 7am to 8am	schedule ( title = flight with George ; date = 2nd ; start-time = 7am ; end-time = 8am )
optometrist appointment with James on the 13th from 12am to 1am	schedule ( title = optometrist appointment with James ; date = 13th ; start-time = 12am ; end-time = 1am )
taking medicine with Jessica on the 8th from 11pm to 12pm	schedule ( title = taking medicine with Jessica ; date = 8th ; start-time = 11pm ; end-time = 12pm )
dinner with John on the 29th from 1am to 2am	schedule ( title = dinner with John ; date = 29th ; start-time = 1am ; end-time = 2am )
interview with Elijah on the 24th from 7pm to 8pm	schedule ( title = interview with Elijah ; date = 24th ; start-time = 7pm ; end-time = 8pm )
meeting with Lucas on the 24th from 9pm to 10pm	schedule ( title = meeting with Lucas ; date = 24th ; start-time = 9pm ; end-time = 10pm )
meeting with Benjamin on the 17th from 10am to 11am	schedule ( title = meeting with Benjamin ; date = 17th ; start-time = 10am ; end-time = 11am )
meeting with William on the 14th from 7pm to 8pm	schedule ( title = meeting with William ; date = 14th ; start-time = 7pm ; end-time = 8pm )
conference with Emma on the 1st from 2am to 3am	schedule ( title = conference with Emma ; date = 1st ; start-time = 2am ; end-time = 3am )
conference with Alice on the 8th from 10pm to 11pm	schedule ( title = conference with Alice ; date = 8th ; start-time = 10pm ; end-time = 11pm )
interview with Noah on the 15th from 3pm to 4pm	schedule ( title = interview with Noah ; date = 15th ; start-time = 3pm ; end-time = 4pm )
breakfast with Michael on the 10th from 6pm to 7pm	schedule ( title = breakfast with Michael ; date = 10th ; start-time = 6pm ; end-time = 7pm )
optometrist appointment with Oliver on the 12th from 10pm to 11pm	schedule ( title = optometrist appointment with Oliver ; date = 12th ; start-time = 10pm ; end-time = 11pm )
lunch with Sophia on the 23rd from 1am to 2am	schedule ( title = lunch with Sophia ; date = 23rd ; start-time = 1am ; end-time = 2am )
interview with Henry on the 18th from 9am to 10am	schedule ( title = interview with Henry ; date = 18th ; start-time = 9am ; end-time = 10am )
playing football with Alexander on the 31st from 9pm to 10pm	schedule ( title = playing football with Alexander ; date = 31st ; start-time = 9pm ; end-time = 10pm )
talk with Barbara on the 18th from 12am to 1am	schedule ( title = talk with Barbara ; date = 18th ; start-time = 12am ; end-time = 1am )
taking medicine with father on the 29th from 8am to 9am	schedule ( title = taking medicine with father ; date = 29th ; start-time = 8am ; end-time = 9am )
dinner with Elijah on the 21st from 9am to 10am	schedule ( title = dinner with Elijah ; date = 21st ; start-time = 9am ; end-time = 10am )
talk with Jessica on the 17th from 12pm to 1pm	schedule ( title = talk with Jessica ; date = 17th ; start-time = 12pm ; end-time = 1pm )
lunch with Michael on the 19th from 10am to 11am	schedule ( title = lunch with Michael ; date = 19th ; start-time = 10am ; end-time = 11am )
dinner with father on the 13th from 10pm to 11pm	schedule ( title = dinner with father ; date = 13th ; start-time = 10pm ; end-time = 11pm )
trip with Jeffrey on the 25th from 10pm to 11pm	schedule ( title = trip with Jeffrey ; date = 25th ; start-time = 10pm ; end-time = 11pm )
conference with sister on the 5th from 12am to 1am	schedule ( title = conference with sister ; date = 5th ; start-time = 12am ; end-time = 1am )
dentist appointment with Ashley on the 22nd from 10pm to 11pm	schedule ( title = dentist appointment with Ashley ; date = 22nd ; start-time = 10pm ; end-time = 11pm )
playing football with Ashley on the 7th from 11pm to 12pm	schedule ( title = playing football with Ashley ; date = 7th ; start-time = 11pm ; end-time = 12pm )
trip with James on the 27th from 6pm to 7pm	schedule ( title = trip with James ; date = 27th ; start-time = 6pm ; end-time = 7pm )
meeting with Jessica on the 1st from 2am to 3am	schedule ( title = meeting with Jessica ; date = 1st ; start-time = 2am ; end-time = 3am )
talk with Olivia on the 23rd from 11am to 12am	schedule ( title = talk with Olivia ; date = 23rd ; start-time = 11am ; end-time = 12am )
interview with Justin on the 11th from 7am to 8am	schedule ( title = interview with Justin ; date = 11th ; start-time = 7am ; end-time = 8am )
trip with William on the 10th from 6am to 7am	schedule ( title = trip with William ; date = 10th ; start-time = 6am ; end-time = 7am )
dinner with Emily on the 26th from 2am to 3am	schedule ( title = dinner with Emily ; date = 26th ; start-time = 2am ; end-time = 3am )
dinner with Linda on the 2nd from 12am to 1am	schedule ( title = dinner with Linda ; date = 2nd ; start-time = 12am ; end-time = 1am )
breakfast with Ryan on the 30th from 4am to 5am	schedule ( title = breakfast with Ryan ; date = 30th ; start-time = 4am ; end-time = 5am )
conference with Emma on the 17th from 3am to 4am	schedule ( title = conference with Emma ; date = 17th ; start-time = 3am ; end-time = 4am )
optometrist appointment with Brian on the 25th from 8am to 9am	schedule ( title = optometrist appointment with Brian ; date = 25th ; start-time = 8am ; end-time = 9am )
dentist appointment with James on the 21st from 9am to 10am	schedule ( title = dentist appointment with James ; date = 21st ; start-time = 9am ; end-time = 10am )
dentist appointment with George on the 17th from 9pm to 10pm	schedule ( title = dentist appointment with George ; date = 17th ; start-time = 9pm ; end-time = 10pm )
playing football with Ashley on the 1st from 2am to 3am	schedule ( title = playing football with Ashley ; date = 1st ; start-time = 2am ; end-time = 3am )
breakfast with Elijah on the 10th from 9pm to 10pm	schedule ( title = breakfast with Elijah ; date = 10th ; start-time = 9pm ; end-time = 10pm )
interview with Jessica on the 8th from 5am to 6am	schedule ( title = interview with Jessica ; date = 8th ; start-time = 5am ; end-time = 6am )
optometrist appointment with Alex on the 20th from 1am to 2am	schedule ( title = optometrist appointment with Alex ; date = 20th ; start-time = 1am ; end-time = 2am )
lunch with Evelyn on the 4th from 10pm to 11pm	schedule ( title = lunch with Evelyn ; date = 4th ; start-time = 10pm ; end-time = 11pm )
playing football with Gary on the 5th from 7pm to 8pm	schedule ( title = playing football with Gary ; date = 5th ; start-time = 7pm ; end-time = 8pm )
zoom with Elijah on the 13th from 10am to 11am	schedule ( title = zoom with Elijah ; date = 13th ; start-time = 10am ; end-time = 11am )
lunch with sister on the 20th from 9pm to 10pm	schedule ( title = lunch with sister ; date = 20th ; start-time = 9pm ; end-time = 10pm )
flight with Oliver on the 23rd from 10am to 11am	schedule ( title = flight with Oliver ; date = 23rd ; start-time = 10am ; end-time = 11am )
meeting with Lucas on the 14th from 9am to 10am	schedule ( title = meeting with Lucas ; date = 14th ; start-time = 9am ; end-time = 10am )
breakfast with William on the 8th from 10am to 11am	schedule ( title = breakfast with William ; date = 8th ; start-time = 10am ; end-time = 11am )
schedule this Tuesday talk with Amelia from 2pm to 4pm	schedule ( title = talk with Amelia ; date = this Tuesday ; start-time = 2pm ; end-time = 4pm )
schedule this Wednesday yoga activity with Jacob from 3am to 5am	schedule ( title = yoga activity with Jacob ; date = this Wednesday ; start-time = 3am ; end-time = 5am )
schedule this Wednesday conference with David from 6pm to 8pm	schedule ( title = conference with David ; date = this Wednesday ; start-time = 6pm ; end-time = 8pm )
schedule next Saturday dinner with Emily from 6am to 8am	schedule ( title = dinner with Emily ; date = next Saturday ; start-time = 6am ; end-time = 8am )
schedule next Tuesday talk with Emily from 3pm to 5pm	schedule ( title = talk with Emily ; date = next Tuesday ; start-time = 3pm ; end-time = 5pm )
schedule next Wednesday dinner with Amelia from 5am to 7am	schedule ( title = dinner with Amelia ; date = next Wednesday ; start-time = 5am ; end-time = 7am )
schedule this Saturday breakfast with Sophia from 12pm to 2pm	schedule ( title = breakfast with Sophia ; date = this Saturday ; start-time = 12pm ; end-time = 2pm )
schedule this Monday taking medicine with  from 6pm to 8pm	schedule ( title = taking medicine with  ; date = this Monday ; start-time = 6pm ; end-time = 8pm )
schedule this Thursday taking medicine with Elizabeth from 11pm to 13pm	schedule ( title = taking medicine with Elizabeth ; date = this Thursday ; start-time = 11pm ; end-time = 13pm )
schedule next Sunday breakfast with Lisa from 1pm to 3pm	schedule ( title = breakfast with Lisa ; date = next Sunday ; start-time = 1pm ; end-time = 3pm )
schedule this Saturday talk with Barbara from 1pm to 3pm	schedule ( title = talk with Barbara ; date = this Saturday ; start-time = 1pm ; end-time = 3pm )
schedule next Sunday lab appointment with Isabella from 11pm to 13pm	schedule ( title = lab appointment with Isabella ; date = next Sunday ; start-time = 11pm ; end-time = 13pm )
